Date,Price,Open,High,Low,Chg%
01-Jan-24,63320,63225,63379,63181,0.19%
29-Dec-23,63203,63246,63385,63051,-0.29%
28-Dec-23,63389,63728,63821,63333,-0.45%
27-Dec-23,63678,63198,63710,63179,1.04%
26-Dec-23,63025,63149,63198,62903,0.11%
22-Dec-23,62954,62784,63277,62687,0.72%
21-Dec-23,62503,62412,62680,62369,0.14%
20-Dec-23,62415,62533,62610,62309,-0.10%
19-Dec-23,62476,62100,62670,62069,0.30%
18-Dec-23,62291,62193,62368,61950,0.16%
15-Dec-23,62192,62550,62597,62055,-0.42%
14-Dec-23,62454,61391,62880,61391,2.05%
13-Dec-23,61199,61196,61340,61001,0.03%
12-Dec-23,61181,61236,61583,61108,0.10%
11-Dec-23,61117,61800,61860,61099,-0.98%
08-Dec-23,61719,62525,62579,61625,-1.20%
07-Dec-23,62466,62414,62736,62222,0.04%
06-Dec-23,62440,62250,62567,62201,-0.26%
05-Dec-23,62600,62900,64460,62375,0.00%
04-Dec-23,62599,63550,63881,62171,-0.81%
01-Dec-23,63112,62512,63356,62464,0.88%
30-Nov-23,62559,62594,62649,62420,-0.07%
29-Nov-23,62605,62602,62675,62300,0.35%
28-Nov-23,62385,61619,62423,61485,1.37%
27-Nov-23,61540,61597,61691,61451,0.29%
24-Nov-23,61364,61072,61390,61056,0.48%
23-Nov-23,61072,61074,61184,61009,0.08%
22-Nov-23,61024,61159,61366,60939,-0.33%
21-Nov-23,61225,60805,61360,60805,0.94%
20-Nov-23,60657,60719,60774,60356,-0.09%
17-Nov-23,60713,60686,61000,60633,-0.01%
16-Nov-23,60722,60148,61914,60110,1.02%
15-Nov-23,60111,60166,60444,60015,0.08%
14-Nov-23,60065,59795,60329,59736,0.37%
13-Nov-23,59842,59699,59920,59490,0.11%
12-Nov-23,59775,59551,59779,59551,0.19%
10-Nov-23,59659,60233,60269,59638,-1.03%
09-Nov-23,60282,59903,60351,59760,0.45%
08-Nov-23,60009,60396,60448,59950,-0.56%
07-Nov-23,60347,60596,60603,60151,-0.70%
06-Nov-23,60770,60847,60975,60732,-0.41%
03-Nov-23,61020,60911,61330,60889,0.18%
02-Nov-23,60911,60890,61042,60750,0.21%
01-Nov-23,60785,60820,61164,60661,-0.81%
31-Oct-23,61280,61117,61539,60905,0.20%
30-Oct-23,61156,61396,61396,61110,0.00%
27-Oct-23,61156,60915,61268,60693,0.54%
26-Oct-23,60826,60824,61070,60585,0.00%
25-Oct-23,60826,60478,60911,60277,0.37%
24-Oct-23,60599,60184,60574,60125,0.00%
23-Oct-23,60599,60400,60801,60400,-0.21%
20-Oct-23,60725,60401,61124,60313,0.67%
19-Oct-23,60318,59720,60375,59720,1.86%
18-Oct-23,59218,59500,60259,59480,0.09%
17-Oct-23,59166,59166,59478,59000,-0.41%
16-Oct-23,59408,59209,59280,58880,0.00%
13-Oct-23,59408,57970,59439,57931,2.57%
12-Oct-23,57918,58045,58235,57881,-0.04%
11-Oct-23,57940,57619,58073,57600,0.54%
10-Oct-23,57629,57689,57744,57501,0.10%
09-Oct-23,57572,57000,57606,57000,1.23%
06-Oct-23,56871,56735,56910,56421,0.48%
05-Oct-23,56602,56200,56602,56075,0.46%
04-Oct-23,56343,56237,56631,56225,0.11%
03-Oct-23,56279,56209,56539,56150,-1.45%
29-Sep-23,57105,57382,57607,57096,-0.04%
28-Sep-23,57128,57631,57647,57026,-0.94%
27-Sep-23,57672,58450,58450,57622,-1.30%
26-Sep-23,58432,58616,58749,58404,-0.46%
25-Sep-23,58701,58884,58996,58676,-0.42%
22-Sep-23,58946,58730,58986,58729,0.21%
21-Sep-23,58822,59315,59315,58685,-0.98%
20-Sep-23,59405,59222,59443,59109,0.21%
19-Sep-23,59282,59240,59388,59240,0.04%
18-Sep-23,59259,58913,59275,58913,0.45%
15-Sep-23,58993,58674,59148,58673,0.69%
14-Sep-23,58588,58550,58620,58354,-0.01%
13-Sep-23,58593,58550,58695,58523,-0.06%
12-Sep-23,58626,58995,58995,58520,-0.52%
11-Sep-23,58930,58930,59100,58888,0.05%
08-Sep-23,58898,59146,59205,58864,-0.17%
07-Sep-23,58998,59043,59128,58970,-0.15%
06-Sep-23,59088,59165,59300,59010,-0.26%
05-Sep-23,59243,59347,59460,59207,-0.25%
04-Sep-23,59393,59570,59574,59330,0.00%
01-Sep-23,59395,59296,59665,59271,0.04%
31-Aug-23,59374,59490,59563,59351,-0.17%
30-Aug-23,59478,59282,59550,59282,0.36%
29-Aug-23,59266,58949,59289,58843,0.64%
28-Aug-23,58887,58685,59000,58671,0.42%
25-Aug-23,58640,58743,58875,58492,-0.29%
24-Aug-23,58811,58800,58895,58662,-0.01%
23-Aug-23,58819,58600,58848,58506,0.42%
22-Aug-23,58574,58526,58674,58361,0.14%
21-Aug-23,58490,58420,58640,58281,0.20%
18-Aug-23,58375,58370,58580,58340,0.15%
17-Aug-23,58290,58453,58689,58275,-0.67%
16-Aug-23,58681,58831,58903,58665,-0.50%
14-Aug-23,58974,58904,59019,58810,0.12%
11-Aug-23,58906,58800,59030,58740,0.09%
10-Aug-23,58853,59130,59146,58725,-0.20%
09-Aug-23,58973,59321,59361,58952,-0.46%
08-Aug-23,59248,59390,59474,59178,-0.29%
07-Aug-23,59420,59550,59567,59313,0.38%
04-Aug-23,59197,59100,59399,58951,0.09%
03-Aug-23,59146,59843,59855,58851,0.03%
02-Aug-23,59127,59182,59499,59100,0.32%
01-Aug-23,58939,59426,59524,58855,-1.06%
31-Jul-23,59568,59390,59650,59176,0.24%
28-Jul-23,59427,59091,59455,58987,0.81%
27-Jul-23,58950,59610,59680,58740,-0.86%
26-Jul-23,59461,59214,59575,59190,0.46%
25-Jul-23,59189,59041,59265,58950,0.19%
24-Jul-23,59076,59241,59320,59055,-0.39%
21-Jul-23,59309,59543,59587,59176,-0.41%
20-Jul-23,59552,59945,59984,59459,-0.40%
